,user,year,books_read,pages_read,average
0,0,2023,4,1339,3.67
1,0,2024,1,253,0.69
2,0,2025,104,35223,96.5
3,1,2025,3,1254,3.44
4,2,2017,16,4717,12.92
5,2,2018,18,6328,17.34
6,2,2019,20,7518,20.6
7,2,2020,33,10910,29.89
8,2,2021,36,12616,34.56
9,2,2022,41,13268,36.35
10,2,2023,36,10021,27.45
11,2,2024,41,11297,30.95
12,2,2025,34,10778,29.53
13,3,2019,1,384,1.05
14,3,2020,0,0,0.0
15,3,2021,0,0,0.0
16,3,2022,63,25589,70.11
17,3,2023,51,22161,60.72
18,3,2024,67,20374,55.82
19,3,2025,93,28649,78.49
20,4,2023,6,2353,6.45
21,4,2024,13,4209,11.53
22,4,2025,55,18515,50.73
23,5,2022,27,10257,28.1
24,5,2023,26,11397,31.22
25,5,2024,31,12969,35.53
26,5,2025,32,13425,36.78
27,6,2013,7,2521,6.91
28,6,2014,0,0,0.0
29,6,2015,2,761,2.08
30,6,2016,3,1117,3.06
31,6,2017,1,225,0.62
32,6,2018,0,0,0.0
33,6,2019,0,0,0.0
34,6,2020,29,10098,27.67
35,6,2021,47,17481,47.89
36,6,2022,5,1497,4.1
37,6,2023,99,32233,88.31
38,6,2024,104,34083,93.38
39,6,2025,101,34199,93.7
40,7,2022,55,19742,54.09
41,7,2023,74,23629,64.74
42,7,2024,72,24460,67.01
43,7,2025,92,25030,68.58
44,8,2024,36,13000,35.62
45,8,2025,329,120356,329.74
46,9,2010,5,1886,5.17
47,9,2011,0,0,0.0
48,9,2012,0,0,0.0
49,9,2013,0,0,0.0
50,9,2014,0,0,0.0
51,9,2015,0,0,0.0
52,9,2016,0,0,0.0
53,9,2017,0,0,0.0
54,9,2018,0,0,0.0
55,9,2019,7,2759,7.56
56,9,2020,56,22625,61.99
57,9,2021,69,27638,75.72
58,9,2022,79,30130,82.55
59,9,2023,113,39981,109.54
60,9,2024,69,27437,75.17
61,9,2025,52,19817,54.29
62,10,2023,45,16169,44.3
63,10,2024,23,7992,21.9
64,10,2025,32,11227,30.76
65,11,2024,1,565,1.55
66,11,2025,50,22222,60.88
67,12,2022,50,13683,37.49
68,12,2023,130,33596,92.04
69,12,2024,132,34413,94.28
70,12,2025,168,43148,118.21
71,13,2020,171,52181,142.96
72,13,2021,134,47428,129.94
73,13,2022,131,39453,108.09
74,13,2023,253,76046,208.35
75,13,2024,400,134432,368.31
76,13,2025,326,133543,365.87
77,14,2023,89,34814,95.38
78,14,2024,82,37298,102.19
79,14,2025,101,41969,114.98
80,15,2010,1,320,0.88
81,15,2011,0,0,0.0
82,15,2012,0,0,0.0
83,15,2013,0,0,0.0
84,15,2014,0,0,0.0
85,15,2015,0,0,0.0
86,15,2016,0,0,0.0
87,15,2017,0,0,0.0
88,15,2018,0,0,0.0
89,15,2019,0,0,0.0
90,15,2020,1,416,1.14
91,15,2021,2,891,2.44
92,15,2022,1,417,1.14
93,15,2023,1,384,1.05
94,15,2024,1,389,1.07
95,15,2025,40,13791,37.78
96,16,2022,38,15191,41.62
97,16,2023,70,25078,68.71
98,16,2024,75,25741,70.52
99,16,2025,87,28964,79.35
100,17,2025,416,158307,433.72
101,18,2006,1,300,0.82
102,18,2007,1,128,0.35
103,18,2008,3,815,2.23
104,18,2009,2,567,1.55
105,18,2010,3,621,1.7
106,18,2011,1,249,0.68
107,18,2012,0,0,0.0
108,18,2013,0,0,0.0
109,18,2014,0,0,0.0
110,18,2015,0,0,0.0
111,18,2016,0,0,0.0
112,18,2017,0,0,0.0
113,18,2018,6,2088,5.72
114,18,2019,13,5110,14.0
115,18,2020,0,0,0.0
116,18,2021,13,4761,13.04
117,18,2022,32,12246,33.55
118,18,2023,52,17447,47.8
119,18,2024,34,10858,29.75
120,18,2025,68,24010,65.78
121,19,2025,9,4018,11.01
122,20,2022,12,4306,11.8
123,20,2023,60,18524,50.75
124,20,2024,51,17135,46.95
125,20,2025,65,19607,53.72
126,21,2021,36,11146,30.54
127,21,2022,67,24042,65.87
128,21,2023,63,21385,58.59
129,21,2024,76,24035,65.85
130,21,2025,73,22671,62.11
131,22,2023,31,7387,20.24
132,22,2024,10,3600,9.86
133,22,2025,25,5203,14.25
134,23,2023,5,1317,3.61
135,23,2024,15,3293,9.02
136,23,2025,12,3115,8.53
137,24,2025,2,785,2.15
138,25,2024,47,19183,52.56
139,25,2025,55,22162,60.72
140,26,2020,52,17308,47.42
141,26,2021,79,29385,80.51
142,26,2022,98,36617,100.32
143,26,2023,101,35757,97.96
144,26,2024,77,25949,71.09
145,26,2025,79,27168,74.43
146,27,2024,1,517,1.42
147,27,2025,5,2420,6.63
148,28,2025,157,64853,177.68
149,29,2018,2,656,1.8
150,29,2019,0,0,0.0
151,29,2020,5,1508,4.13
152,29,2021,39,11786,32.29
153,29,2022,44,12961,35.51
154,29,2023,101,29637,81.2
155,29,2024,69,20818,57.04
156,29,2025,88,24539,67.23
157,30,2016,2,448,1.23
158,30,2017,11,2812,7.7
159,30,2018,0,0,0.0
160,30,2019,0,0,0.0
161,30,2020,0,0,0.0
162,30,2021,2,1026,2.81
163,30,2022,9,4794,13.13
164,30,2023,208,61393,168.2
165,30,2024,535,147802,404.94
166,30,2025,573,178727,489.66
167,31,2025,7,2748,7.53
168,32,2025,53,20862,57.16
169,33,2015,1,335,0.92
170,33,2016,0,0,0.0
171,33,2017,0,0,0.0
172,33,2018,2,700,1.92
173,33,2019,13,4536,12.43
174,33,2020,29,11897,32.59
175,33,2021,45,14218,38.95
176,33,2022,33,12030,32.96
177,33,2023,156,57458,157.42
178,33,2024,80,31127,85.28
179,33,2025,135,53117,145.53
180,34,2016,3,865,2.37
181,34,2017,13,4246,11.63
182,34,2018,5,1748,4.79
183,34,2019,4,1239,3.39
184,34,2020,3,1042,2.85
185,34,2021,0,0,0.0
186,34,2022,26,9371,25.67
187,34,2023,92,39295,107.66
188,34,2024,81,32815,89.9
189,34,2025,128,52203,143.02
190,35,2025,15,4730,12.96
191,36,2020,1,559,1.53
192,36,2021,0,0,0.0
193,36,2022,15,4404,12.07
194,36,2023,71,27995,76.7
195,36,2024,33,11163,30.58
196,36,2025,53,16495,45.19
197,37,2025,8,3585,9.82
198,38,2012,1,276,0.76
199,38,2013,1,215,0.59
200,38,2014,34,12485,34.21
201,38,2015,24,8724,23.9
202,38,2016,0,0,0.0
203,38,2017,0,0,0.0
204,38,2018,0,0,0.0
205,38,2019,0,0,0.0
206,38,2020,0,0,0.0
207,38,2021,0,0,0.0
208,38,2022,1,371,1.02
209,38,2023,28,10340,28.33
210,38,2024,73,28580,78.3
211,38,2025,146,57874,158.56
212,39,2015,44,16261,44.55
213,39,2016,7,2809,7.7
214,39,2017,16,6647,18.21
215,39,2018,24,10178,27.88
216,39,2019,26,11449,31.37
217,39,2020,46,16409,44.96
218,39,2021,98,34751,95.21
219,39,2022,49,18900,51.78
220,39,2023,53,26974,73.9
221,39,2024,59,23146,63.41
222,39,2025,92,48474,132.81
223,40,2022,21,9176,25.14
224,40,2023,48,18730,51.32
225,40,2024,65,28490,78.05
226,40,2025,39,16810,46.05
227,41,2021,55,20774,56.92
228,41,2022,87,34547,94.65
229,41,2023,126,52473,143.76
230,41,2024,81,32917,90.18
231,41,2025,105,38524,105.55
232,42,2025,13,5222,14.31
233,43,2022,5,2228,6.1
234,43,2023,1,323,0.88
235,43,2024,16,6991,19.15
236,43,2025,46,21492,58.88
237,44,2020,24,7247,19.85
238,44,2021,25,5680,15.56
239,44,2022,20,3110,8.52
240,44,2023,20,1847,5.06
241,44,2024,14,2528,6.93
242,44,2025,19,3112,8.53
243,45,2018,1,492,1.35
244,45,2019,0,0,0.0
245,45,2020,1,464,1.27
246,45,2021,0,0,0.0
247,45,2022,3,1151,3.15
248,45,2023,44,16062,44.01
249,45,2024,109,45596,124.92
250,45,2025,91,32456,88.92
251,46,2024,21,11778,32.27
252,46,2025,24,8881,24.33
253,47,2025,13,4595,12.59
254,48,2000,5,998,2.73
255,48,2001,9,2663,7.3
256,48,2002,2,408,1.12
257,48,2003,8,2446,6.7
258,48,2004,12,2764,7.57
259,48,2005,20,4748,13.01
260,48,2006,9,2915,7.99
261,48,2007,23,7000,19.18
262,48,2008,31,9144,25.05
263,48,2009,22,7409,20.3
264,48,2010,34,10571,28.96
265,48,2011,29,10583,28.99
266,48,2012,18,5628,15.42
267,48,2013,13,4748,13.01
268,48,2014,16,5943,16.28
269,48,2015,43,16924,46.37
270,48,2016,81,29621,81.15
271,48,2017,33,11496,31.5
272,48,2018,229,79957,219.06
273,48,2019,107,35455,97.14
274,48,2020,91,30966,84.84
275,48,2021,47,16760,45.92
276,48,2022,14,4293,11.76
277,48,2023,19,7723,21.16
278,48,2024,65,25508,69.88
279,48,2025,120,43070,118.0
280,49,2025,80,29095,79.71
281,50,2019,1,579,1.59
282,50,2020,0,0,0.0
283,50,2021,0,0,0.0
284,50,2022,1,408,1.12
285,50,2023,0,0,0.0
286,50,2024,66,28963,79.35
287,50,2025,168,63505,173.99
288,51,2020,1,352,0.96
289,51,2021,4,1657,4.54
290,51,2022,13,6568,17.99
291,51,2023,34,16984,46.53
292,51,2024,107,44661,122.36
293,51,2025,142,55961,153.32
294,52,2025,9,3403,9.32
295,53,2012,5,2184,5.98
296,53,2013,11,3341,9.15
297,53,2014,4,2105,5.77
298,53,2015,22,7679,21.04
299,53,2016,16,5540,15.18
300,53,2017,5,1486,4.07
301,53,2018,4,2265,6.21
302,53,2019,19,6073,16.64
303,53,2020,32,9858,27.01
304,53,2021,47,13757,37.69
305,53,2022,65,22582,61.87
306,53,2023,72,24841,68.06
307,53,2024,47,15722,43.07
308,53,2025,85,28045,76.84
309,54,2017,1,378,1.04
310,54,2018,0,0,0.0
311,54,2019,1,376,1.03
312,54,2020,0,0,0.0
313,54,2021,54,19035,52.15
314,54,2022,57,17691,48.47
315,54,2023,60,21020,57.59
316,54,2024,40,12861,35.24
317,54,2025,53,19095,52.32
318,55,1983,1,208,0.57
319,55,1984,0,0,0.0
320,55,1985,0,0,0.0
321,55,1986,1,166,0.45
322,55,1987,0,0,0.0
323,55,1988,1,1216,3.33
324,55,1989,0,0,0.0
325,55,1990,0,0,0.0
326,55,1991,0,0,0.0
327,55,1992,0,0,0.0
328,55,1993,0,0,0.0
329,55,1994,0,0,0.0
330,55,1995,0,0,0.0
331,55,1996,0,0,0.0
332,55,1997,0,0,0.0
333,55,1998,0,0,0.0
334,55,1999,0,0,0.0
335,55,2000,1,489,1.34
336,55,2001,0,0,0.0
337,55,2002,0,0,0.0
338,55,2003,2,447,1.22
339,55,2004,0,0,0.0
340,55,2005,0,0,0.0
341,55,2006,0,0,0.0
342,55,2007,0,0,0.0
343,55,2008,0,0,0.0
344,55,2009,0,0,0.0
345,55,2010,0,0,0.0
346,55,2011,0,0,0.0
347,55,2012,0,0,0.0
348,55,2013,16,5415,14.84
349,55,2014,14,4989,13.67
350,55,2015,13,3821,10.47
351,55,2016,26,9144,25.05
352,55,2017,30,8893,24.36
353,55,2018,47,15744,43.13
354,55,2019,12,4749,13.01
355,55,2020,23,8045,22.04
356,55,2021,59,15993,43.82
357,55,2022,63,19124,52.39
358,55,2023,52,15080,41.32
359,55,2024,54,18858,51.67
360,55,2025,64,27385,75.03
361,56,2023,54,22295,61.08
362,56,2024,100,49422,135.4
363,56,2025,101,45921,125.81
364,57,2024,14,4229,11.59
365,57,2025,58,23159,63.45
366,58,2005,3,1032,2.83
367,58,2006,18,6851,18.77
368,58,2007,0,0,0.0
369,58,2008,0,0,0.0
370,58,2009,0,0,0.0
371,58,2010,37,11414,31.27
372,58,2011,107,39000,106.85
373,58,2012,121,43572,119.38
374,58,2013,143,51339,140.65
375,58,2014,145,50640,138.74
376,58,2015,207,69477,190.35
377,58,2016,286,93737,256.81
378,58,2017,332,105521,289.1
379,58,2018,376,122754,336.31
380,58,2019,403,138409,379.2
381,58,2020,327,99496,272.59
382,58,2021,590,187452,513.57
383,58,2022,689,220188,603.25
384,58,2023,672,212033,580.91
385,58,2024,622,199517,546.62
386,58,2025,496,160404,439.46
387,59,2024,53,19152,52.47
388,59,2025,66,23644,64.78
389,60,2012,2,877,2.4
390,60,2013,0,0,0.0
391,60,2014,5,1867,5.12
392,60,2015,21,7960,21.81
393,60,2016,14,5590,15.32
394,60,2017,4,1618,4.43
395,60,2018,4,1731,4.74
396,60,2019,0,0,0.0
397,60,2020,21,7306,20.02
398,60,2021,15,6710,18.38
399,60,2022,14,5299,14.52
400,60,2023,8,3185,8.73
401,60,2024,21,7500,20.55
402,60,2025,16,5635,15.44
403,61,2025,35,14057,38.51
404,62,2015,14,5989,16.41
405,62,2016,4,2175,5.96
406,62,2017,0,0,0.0
407,62,2018,0,0,0.0
408,62,2019,0,0,0.0
409,62,2020,0,0,0.0
410,62,2021,0,0,0.0
411,62,2022,53,19716,54.02
412,62,2023,65,24008,65.78
413,62,2024,75,28924,79.24
414,62,2025,81,28237,77.36
415,63,2025,97,24461,67.02
416,64,2013,19,7871,21.56
417,64,2014,37,16216,44.43
418,64,2015,71,27299,74.79
419,64,2016,66,25689,70.38
420,64,2017,63,24762,67.84
421,64,2018,60,23197,63.55
422,64,2019,56,21150,57.95
423,64,2020,64,22920,62.79
424,64,2021,97,33173,90.88
425,64,2022,128,40270,110.33
426,64,2023,120,41731,114.33
427,64,2024,10,2878,7.88
428,64,2025,136,40773,111.71
429,65,2022,52,19681,53.92
430,65,2023,63,23804,65.22
431,65,2024,83,25300,69.32
432,65,2025,77,29642,81.21
433,66,2024,62,27216,74.56
434,66,2025,28,9099,24.93
435,67,2015,14,3104,8.5
436,67,2016,1,383,1.05
437,67,2017,9,2264,6.2
438,67,2018,74,19854,54.39
439,67,2019,103,32168,88.13
440,67,2020,140,43704,119.74
441,67,2021,112,35132,96.25
442,67,2022,166,60997,167.12
443,67,2023,211,71801,196.72
444,67,2024,135,48255,132.21
445,67,2025,154,53209,145.78
446,68,1995,1,288,0.79
447,68,1996,0,0,0.0
448,68,1997,0,0,0.0
449,68,1998,0,0,0.0
450,68,1999,0,0,0.0
451,68,2000,0,0,0.0
452,68,2001,0,0,0.0
453,68,2002,0,0,0.0
454,68,2003,0,0,0.0
455,68,2004,0,0,0.0
456,68,2005,0,0,0.0
457,68,2006,0,0,0.0
458,68,2007,3,935,2.56
459,68,2008,17,6353,17.41
460,68,2009,21,7642,20.94
461,68,2010,20,7059,19.34
